Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Office,30,5.7,52.3,6892,8,1.6,65.4,1.55,2.09,High
Hybrid,30,8.5,46.6,7918,6.5,4.3,61,2.76,2.21,High
Remote,35,10.5,36.4,10441,7,4.9,86.3,8.46,2.59,High
Remote,25,3.3,39.4,8149,5.8,6.6,89,6.62,2.86,High
Remote,56,22.8,51.9,14759,7,4.5,79.7,7.13,2.9,High
Hybrid,34,10.8,37.9,8285,7.7,1.4,77.2,5.46,1.97,High
Remote,31,9.3,39.8,9116,7.3,4.3,70,6.64,4.08,High
Office,24,2.1,44.6,5969,7.3,2.1,85.7,2.21,3.57,High
Office,25,2.8,60,6719,5.2,9.1,63.1,3.25,4.97,Medium
Remote,36,9.2,41.3,10460,4,4.9,87.9,6.46,2.51,High
Hybrid,42,19.9,42,11991,5.5,3.2,75.4,3.3,2.92,High
Remote,34,12.5,37,10263,6.8,5.4,69.7,5.76,3.34,High
Hybrid,37,11.1,44.5,9990,7,5.2,84.1,4.54,3.92,High
Office,34,9.1,53.2,8522,5.5,5.7,76.7,3.48,3.42,High
Remote,36,12.4,36.5,10352,5.5,5.1,70.5,6.46,2.81,High
Office,33,7.3,40.1,8648,6.6,6,67.5,3.29,4.73,Medium
Remote,45,15.5,37.5,10707,8.2,6.5,74,8.33,3.19,High
Remote,24,2.2,40.7,7885,8,4.3,92.8,8.21,3.1,High
Remote,35,10.3,47.7,10441,6.7,4.6,67.9,7.08,2.5,High
Remote,40,13.2,40.6,10901,5.9,3.5,77.9,6.38,1.87,High
Hybrid,30,6.3,42.5,8488,7.8,3.5,62.4,2.79,2.53,High
Remote,37,12.4,39.2,10729,5.9,6.1,72.3,6.15,3.75,High
Remote,31,7,41.4,8324,6.8,1.7,79.1,6.74,1.84,High
Office,28,6.7,41.6,7781,7,3.8,77.5,2.38,3.46,High
Remote,37,11.7,39.2,10736,7.9,1,73.5,3.48,3.28,High
Hybrid,44,20.1,36.7,11583,5.7,5,64.6,2.8,3.72,High
Office,28,4.7,52.1,7715,5.5,7.2,48.2,2.24,3.75,High
Remote,31,9.6,50,10677,7.4,3.3,60.3,4.73,2.53,High
Remote,43,20.7,41.8,13118,5.2,3.1,65.9,6.86,1.43,High
Office,33,9.5,36.2,8846,6.6,2.4,76.4,2.13,3.37,High
Remote,47,16.7,47.9,11967,6.7,3,55.1,5.29,2.37,High
Remote,21,0,39.5,6362,5.4,2,70.5,4.97,1.22,High
Remote,27,4.7,45.1,8492,6.5,7.1,78.1,5.61,3.5,High
Remote,27,4.5,49.2,8245,5.6,4.7,45.6,5.78,2.2,High
Office,40,18.8,47.3,9826,6.9,2.7,70.8,3.35,3.49,High
Remote,21,0,41.1,7707,6.4,6.2,62.9,7.66,3.32,High
Remote,27,4.8,39,7895,7.5,5,67.6,6.9,2.69,High
Remote,38,12.4,50.1,10275,5.4,3.8,65.8,7.44,1.77,High
Remote,43,14.1,39.5,10766,6,9.3,81.3,9,4.3,High
Office,44,17.7,37.6,11777,6.5,3.4,69.2,1.14,4.92,Medium
Remote,32,9.2,44,10003,6.5,7.3,81.2,5.64,3.39,High
Remote,42,15.2,35.7,11518,6.3,7.4,70.1,6.92,3.84,High
Remote,37,11.7,44.3,10027,5.5,3.3,71.2,8.13,1.76,High
Office,29,7.4,46.4,6697,5.6,5.1,58.8,2.82,3.78,High
Hybrid,28,6.2,49.2,8024,5.7,4.3,67.5,5.11,3.09,High
Remote,31,9.8,52.9,9941,6.8,6.3,60.8,6.19,2.23,High
Office,28,6.7,42,7205,4.7,5.3,68.9,1.83,2.39,High
Remote,25,3.3,35.5,7661,4.5,9,48.9,6.76,2.64,High
Remote,21,0,49.1,7272,6.6,4,57.7,4.96,3,High
Remote,23,1.5,44.6,6808,6.1,3.9,77.3,6.24,2.62,High
Office,21,0,57.5,6217,7.9,7.9,87.1,3.44,4.21,High
Remote,28,5.4,42.3,8563,7.8,3.7,74.3,7.56,2.51,High
Remote,27,5.3,47.5,8407,7.1,6.5,63.7,9.06,4.48,High
Remote,41,12.9,47.5,10247,7,6.2,78.4,7.35,3.6,High
Office,32,7.4,52.1,8760,5.8,4.9,68.5,1.31,3.8,High
Remote,38,10.2,40.8,10762,6,2.5,74.8,6.34,1.47,High
Office,25,2.8,49.5,5972,6.1,8.8,59.2,2.55,4.48,High
Remote,28,4.4,46.1,7770,6.5,8.1,58.9,6.68,4,High
Hybrid,29,4.9,53.4,7783,5.6,2.6,68.6,4.16,3.15,High
Remote,21,0,42.8,6412,7.7,3.4,63.5,6.61,1.23,High
Hybrid,41,15.7,43.1,11289,7.1,3.6,76.6,4.6,2.88,High
Hybrid,29,5.4,47.4,8766,6.4,2.2,78.1,3.18,2.48,High
Hybrid,36,10.2,52.7,9042,6.9,5.9,77.8,3.81,3.42,High
Remote,36,9.4,46.8,10008,7.1,4.9,74.5,6.73,2.29,High
Office,21,0,45.9,6711,8.2,7.5,73.4,2.59,5.45,Medium
Remote,42,20.5,40,11823,7.3,6.5,95.4,7.56,4.87,Medium
Office,37,14.3,33.4,10269,5.4,3.3,78,2.88,2.65,High
Remote,44,19.1,40.5,12185,5.5,4.9,68.2,7.29,1.71,High
Hybrid,36,10.7,45.4,10038,5.6,6,55.1,4.44,3.15,High
Remote,21,0,49.1,7425,4.8,3.2,61.8,6.28,2.48,High
Remote,40,13.6,41.7,11275,7.2,6.7,60.8,4.49,3.14,High
Remote,24,2.1,39.9,7787,8.1,2.3,66.1,6.45,3.38,High
Hybrid,22,0.7,40.1,6471,6.3,5,80.9,5.2,3.77,High
Remote,24,1.8,38.6,7916,7.6,6.3,78.9,4.8,4.28,High
Remote,41,14,43,11029,6.7,1.8,86.8,6.26,2.7,High
Remote,33,8.3,37.8,9215,6.8,5.5,80.4,7.78,3.41,High
Remote,46,22.1,41,13901,5.5,5,76.9,7.58,3.02,High
Remote,30,6.6,35.4,9497,7,9.4,85.1,6.78,5.49,Medium
Office,37,13.9,46.1,9944,4.8,5.4,75.6,2.87,3.56,High
Office,39,14.7,42.8,10214,6.7,3.5,76.6,2.9,4.61,Medium
Remote,23,1.2,46.8,6759,5.2,6.2,75.6,7.16,2.1,High
Office,28,4.5,48.1,6686,6,5.8,58.6,3.56,2.6,High
Office,53,25.5,34.7,13810,4.7,4.5,82.7,2.35,3.31,High
Remote,31,8.5,45.5,9193,6.9,4.4,87.7,7.37,2.91,High
Remote,31,8.8,40.9,9566,7.3,4.2,75.3,6.46,3.38,High
Remote,21,0,32.1,6939,7.9,6.1,71,5.93,4.39,High
Office,31,6.5,48.8,7444,7.3,5.2,84.7,3.51,3.17,High
Remote,23,1.3,43.3,7618,7.5,5.2,88.7,7.04,2.92,High
Remote,34,9.7,44,10139,6.5,4.3,66.9,6.76,2.51,High
Remote,40,17,38.8,11421,5.1,6.6,65.6,8.25,2.18,High
Office,21,0,49.6,6097,6.2,0.6,53.7,3,3.45,High
Remote,27,4.8,39.9,7473,6.2,2.9,80.7,7.6,1.23,High
Hybrid,39,13.3,42.7,10803,6.2,2.6,93.6,5.66,2,High
Hybrid,26,4.7,43.8,7321,7.4,3.3,57.6,3.3,4.45,High
Hybrid,43,21.4,46.7,13206,6,4.4,75.6,2.81,3.31,High
Remote,36,11.3,49.9,11018,6.2,7.3,78.6,7.67,2.76,High
Office,28,5.9,33,8670,7.1,1.8,79.4,2.67,3.95,High
Office,38,11.1,43.6,9589,4.9,6.1,49.1,1.29,3.06,High
Office,27,3.8,43.3,6792,7.2,5.2,80.3,1.65,3.62,High
Office,34,12.2,52.7,9692,5.3,0.2,66.9,2.66,2.01,High
Remote,30,8.6,49.6,8830,4,5.3,56.9,8.43,0.97,High
Hybrid,21,0,43.1,5515,6.3,7,62.5,3.5,3.03,High
Remote,32,10.3,42.2,10168,5.5,5.3,43.2,7.05,1.79,High
Remote,27,4.7,42.5,8552,6.8,2.6,80.6,7.15,1.42,High
Remote,34,10.8,47.6,10290,5.5,1.4,74.5,6.24,1.36,High
Office,35,9.7,48,8766,6.5,6.7,50.1,2.75,4.52,Medium
Remote,41,17.3,42.3,12146,7.6,6.8,90.3,9,3.04,High
Hybrid,21,0,46.8,6116,6.5,6.6,62.2,3.81,3.85,High
Remote,39,17.2,41.4,12188,7.5,3.5,83.7,6.61,2.85,High
Remote,33,10.7,38,10374,5.4,6.7,69.2,6.38,3.83,High
Office,32,10.3,44.3,7669,6.3,7.7,79.1,2.84,3.64,High
Office,36,9.4,48.8,8706,5.5,5.6,69.5,1.64,2.84,High
Office,47,18.5,48.9,11096,6,4.2,56.5,3.8,1.22,High
Office,40,14.3,46.7,10450,6.3,3.8,99.6,1.98,3.09,High
Remote,34,10.8,38.4,9055,8.5,7.3,67.8,5.69,3.72,High
Hybrid,36,14,47.3,11181,7.2,6.9,65,3.79,3.08,High
Remote,38,15.3,35.9,11835,8,6.6,81.9,6.91,3.48,High
Hybrid,34,9.1,46.3,8621,6.2,7.4,60.5,5.26,2.71,High
Remote,45,16.2,40.1,11513,5.8,7.6,77.3,4.94,4.6,Medium
Hybrid,21,0,49.3,5487,7.3,1.9,64.2,4.72,2.53,High
Remote,35,10.7,45.2,9794,6.3,6.9,95.9,5,3.48,High
Office,33,9.7,49.1,7672,5.4,4.4,94.5,2.99,1.44,High
Hybrid,21,0,45.8,6723,6.5,3,89.8,3.14,2.57,High
Hybrid,22,1,44.4,7399,6.7,3.2,82.5,3.5,1.08,High
Office,29,5.8,46.2,7154,7.1,2.4,66.3,2.4,2.59,High
Hybrid,37,9.9,38,8835,6.7,8.3,76.1,3.44,3.57,High
Remote,37,14,35.9,11388,6.5,4.6,85.4,5.91,3.7,High
Remote,38,15.8,41.3,10974,8.6,3.4,79.9,7.62,2.33,High
Office,30,9,42.7,8711,4.8,1.4,70.5,2.16,1.05,High
Remote,43,16.8,36.4,11684,7.8,3.5,86.8,7.39,3.1,High
Hybrid,24,2.5,43.3,7456,6.1,3.9,62.6,3.66,2.89,High
Office,29,7.4,43.3,8340,7.2,5.7,72.2,2.61,4.83,Medium
Office,35,14,56.6,9972,5.7,6.1,74.3,3.25,4.65,Medium
Remote,35,11.7,45.4,9213,5.7,1.5,52.3,5.79,2.2,High
Office,34,8.3,52.2,9163,5.9,4,62.7,2.94,1.37,High
Hybrid,32,10.8,49,9775,4.7,2.9,61.9,4.16,2.28,High
Office,27,4.2,52.1,7011,6,6.5,78.8,2.81,4.41,High
Remote,33,11,51.1,10689,7.3,4.6,60.5,7.18,3.6,High
Remote,30,7,38.5,8702,5.3,3.6,60.6,4.54,1.73,High
Hybrid,28,5.3,37.9,7907,6.5,5.5,88.6,6.23,3.4,High
Remote,25,3.1,41.2,7401,7,7.7,69.3,6.25,4.15,High
Hybrid,34,10.5,47.6,8778,7.2,2.6,81.2,6.32,2.99,High
Office,31,8.2,45.6,8820,6.5,6.1,57.3,2.82,5.39,Medium
Remote,31,9.7,39.6,9927,6.1,1.5,68.6,8.26,1.1,High
Remote,39,11.4,48.6,10375,6.9,3.8,62.5,4.16,1.77,High
Hybrid,25,3.6,42.5,6235,6.9,3.2,69.9,3.89,3.81,High
Remote,21,0,37.8,6554,6.6,4,74.9,6.17,2.13,High
Office,36,12.8,56,10415,8.2,1.6,76.6,3.85,3.38,High
Office,33,10.4,43.7,8413,5,3.7,59.3,2.09,3.21,High
Hybrid,30,6.3,44.4,8717,5.8,1.1,68,4.37,2.65,High
Remote,35,10.6,41.7,11291,7.8,4.8,79.6,7.95,2.37,High
Remote,42,17.2,31.2,11092,7.4,6.7,95.6,6.31,3.53,High
Hybrid,29,7.3,49,9179,5.9,3.2,69,2.71,2.36,High
Hybrid,25,2.5,45.1,7451,5,3.3,54.9,4.12,2.47,High
Office,33,7.2,51,8346,5,6.4,65.5,4.27,4.93,Medium
Remote,30,8.3,36.4,8851,5.8,6,75,6.13,4.14,High
Hybrid,34,12.9,48.7,9781,5.4,3.6,67.4,3.94,2.54,High
Remote,35,11.3,34.7,10830,5.2,2.3,55.3,8.95,1,High
Hybrid,35,9.7,48.7,9126,6.8,6.8,70.2,5.97,4.46,High
Office,46,21.1,59,12296,6.9,3.1,74.6,3.05,1.9,High
Office,44,21.6,49.2,11806,6,6.8,78,4.44,4.08,High
Hybrid,35,11.4,44.9,9161,6.3,5.8,71.6,5.74,3.18,High
Hybrid,27,4.9,46.5,8312,6.2,2.6,63,4.33,1.82,High
Remote,36,12.2,36,10255,5.9,6.5,83.8,7.12,2.45,High
Office,28,6.3,51.4,7793,6,5.4,92.7,2.66,2.99,High
Office,26,4.7,46.8,6689,6.9,4,61.3,4.02,4.1,High
Remote,26,4.7,45.1,9115,5.9,3.4,82.7,5.66,2.63,High
Office,21,0,43.9,5000,7.4,5.9,72.1,0.14,4.87,Medium
Remote,24,2.3,32.9,7436,8.1,3,75.7,6.43,2.51,High
Remote,32,9.2,43.8,9358,7.6,4.4,71.1,7.97,3.46,High
Remote,28,5.3,38,8504,7.2,7.1,88.3,6.06,4.23,High
Remote,43,18.6,44.1,12533,6.9,2.3,81,5.95,3.86,High
Office,30,6.1,43.2,7312,7.3,7.7,80.9,1.1,6.31,Medium
Office,26,3.6,43.2,7735,5.5,6.6,48.3,3.25,4.06,High
Office,33,10.9,45.1,8988,5.7,0,59.5,1.66,2.65,High
Hybrid,21,0,48.4,5749,7.6,6.7,67.2,5.01,4.1,High
Hybrid,36,12.1,44.2,9812,7.3,4.1,68.5,6.31,3.6,High
Remote,46,19.9,33.6,12979,6.6,2.9,77.8,6.33,2.42,High
Remote,30,5.9,42.2,8843,5.6,4.3,67.3,7.14,1.5,High
Office,21,0,48,6041,5.5,1.9,41.8,3.43,1.64,High
Remote,44,20.7,38.2,12608,6.6,8.4,73,4.78,4.54,Medium
Office,27,3.7,52.1,6705,7.2,7.7,86.5,3.16,4.79,Medium
Hybrid,25,3.2,50.6,7905,6,5.1,83.6,4.98,3.17,High
Remote,42,18.3,45.2,11536,6.7,6.8,73.9,5.57,4.13,High
Remote,34,10.3,47.1,10853,6.6,6,63.9,7.47,1.05,High
Remote,37,11,42.9,10470,7.1,5.2,79.7,9.06,1.98,High
Office,24,2.9,48,6144,5.7,6.7,77.3,2.89,4.28,High
Remote,21,0,39.5,7335,5.3,3.4,68.7,6.18,1.22,High
Office,29,4.9,38.5,8534,8.7,6.5,88.2,1.89,5.36,Medium
Office,26,4.1,50.1,8030,5,8.8,54.4,2.75,3.66,High
Remote,39,13.5,38.5,10336,5.6,6.5,63,6.84,3.46,High
Remote,35,9.6,33.7,9810,7.5,6.8,74.6,4.43,5.59,Medium
Hybrid,21,0,51.2,6515,5,2,71.2,3.16,2.08,High
Office,38,16.5,41.3,10915,5.4,4.6,73.8,1.59,3.78,High
Office,27,5.4,42.2,7744,6.2,8.6,66.3,3.95,4.74,Medium
Remote,40,12.3,48.2,11039,6.5,3.7,71.3,9.64,1.63,High
Office,51,20.2,51,12222,6.2,4.7,77.7,3.14,3.89,High
Hybrid,25,3.1,47.1,7340,7.1,5.2,67.8,3.16,4.57,Medium
Hybrid,33,8.1,36.4,9648,5.9,8.7,69,2.4,4.26,High
Remote,38,12.3,45,10912,4,1.8,67.5,6.27,0.74,High
Remote,33,7.8,43,8833,6.7,9.1,70.9,7.77,4.48,High
Office,39,12.2,49.5,10497,6.1,4.8,71.8,2.5,4.93,Medium
Remote,21,0,37.3,6724,6.3,3.5,70.8,6.4,2.4,High
Remote,38,16.8,45.8,11831,8.4,4.1,83.2,6.05,3.33,High
Office,27,5.1,48.9,7406,5.7,8,57,2.41,4.57,Medium
Office,30,6.9,43.9,6976,6,7,60.5,1.83,4.34,High
Hybrid,33,7.4,43.4,8215,6.8,3,59.8,3.94,3.83,High
Remote,21,0,41,6656,8.2,7.3,80.4,7.5,4.15,High
Office,25,2.8,46.9,6622,6.3,4,83.5,3.74,2.42,High
Remote,35,10.4,43.9,10008,6.5,6,79,9.11,3,High
Office,26,3.9,41.8,7158,6.8,5.6,70.7,4.02,3.96,High
Hybrid,36,14.9,44.3,10579,6,6.6,64.2,3.24,3.09,High
Office,37,11.1,60,9861,5.3,7.6,77.5,1.93,5,Medium
Remote,32,10.9,39.2,9589,7.2,3.8,82.6,8.92,2.21,High
Office,30,8.3,43.6,7312,5.6,4.7,76.6,2.36,3.37,High
Office,41,13.5,45.5,9665,5.1,3.9,77.9,2.79,3.31,High
Office,34,10.4,47.5,9177,7.2,2.8,81.1,3.37,5.09,Medium
Remote,29,5.3,36.5,8396,5.8,4.4,64.2,6.62,1.77,High
Hybrid,30,7.3,41.9,7923,6.3,5.5,76.8,4.97,3.04,High
Remote,27,4.7,48.6,9281,5.8,3.1,71,5.99,2.35,High
Hybrid,38,12.3,43.8,8537,7.5,4.9,64.2,3.27,1.37,High
Remote,32,6.9,45.8,9285,5.2,0,46,5.54,0.58,High
Office,33,9.2,44.8,8392,5.8,7.9,74.7,4.01,3.87,High
Hybrid,31,7.3,40,9385,5.2,5.7,83.7,3.88,3.11,High
Remote,46,22.1,42.8,12938,5.4,6.1,80.8,6.43,3.78,High
Office,28,6.1,42.3,7580,5.8,7.7,69.3,2.48,4.29,High
Remote,21,0,43.7,6768,5.8,8.2,65.2,5.68,4.24,High
Office,24,2.4,34.4,6799,4.9,3.8,58.8,2.92,0.55,High
Remote,24,2.2,51.3,8074,6.9,9.9,56.4,6.15,4,High
Remote,50,28.6,40.4,15269,8.2,4.6,71.2,5.5,4.13,High
Remote,28,5,42.3,7160,6.2,5.8,96.9,6.45,2.77,High
Remote,49,23.4,42,13825,6.1,2.9,86.4,6.59,4.14,High
Hybrid,36,11.3,44.3,10630,8,5,53.5,4.26,4.65,Medium
Remote,41,18.7,45.2,12347,7.6,7.9,75,7.23,3.91,High
Office,49,19.6,38.5,11215,5.4,4.1,88.5,2.3,4.06,High
Remote,35,12.2,45.1,9879,6.4,4.4,79.6,6.82,2.33,High
Office,27,4.2,48.9,6437,5.6,6,63.5,2.76,4.33,High
Remote,40,16.4,42.1,10985,6.5,3.1,69.1,5.7,2.47,High
Office,40,14.3,43.4,9565,5.7,5.3,67.9,1.35,3.24,High
Remote,51,23.6,40.8,14040,5.9,2.8,78.7,7.28,1.93,High
Remote,37,12,35.6,10791,7.7,2.1,94.4,7.44,2.06,High
Hybrid,30,6.2,43.8,8020,6.6,8.8,66.2,4.31,5.15,Medium
Remote,43,17.1,36.3,11361,6.9,9.4,91.1,6.88,4.89,Medium
Office,36,13.9,46.4,9710,6.1,6.6,82.1,3.09,5.16,Medium
Office,27,5.3,51.7,7333,5,4.3,71,2.85,2.77,High
Office,25,3.9,43.5,6637,6.4,4.7,90.7,3.82,4.26,High
Office,27,4.6,44.5,7410,6.7,6.8,47.5,3.57,3.54,High
Remote,40,12.2,42.2,10095,8.4,3.3,71.8,6.83,1.32,High
Hybrid,21,0,41.8,6915,4.7,4.2,66.6,2.83,2.19,High
Remote,41,16.3,44.8,11807,6.8,5.1,77.6,4.07,1.92,High
Remote,38,13.5,42.6,10971,6.2,7.9,63,7.21,2.72,High
Remote,36,10.3,46.3,9898,6.3,3.5,62.5,7.03,1.81,High
Office,49,18,58.2,11687,6.2,1.6,65.4,2.16,2.09,High
Hybrid,33,9.2,45,10460,8.7,9.2,75.5,5.85,6.23,Medium
Hybrid,28,5.7,36.8,7669,6.7,7.5,62.5,2.96,5.3,Medium
Office,34,12,49.1,9148,6.4,6.7,71.3,4.19,4.4,High
Office,37,11.2,42.2,9603,6.5,7.3,74.6,2.93,4.71,Medium
Office,31,9,53.1,7262,5.1,3.5,53.3,3.1,2.86,High
Office,21,0,43.2,6024,4.6,6.7,69.4,2.72,3.35,High
Remote,24,2.3,43.9,7722,8.2,4.6,73.8,5.24,3.83,High
Remote,21,0,37.6,6987,7.2,5,66.1,4.3,3.99,High
Office,25,3.9,37.3,6616,6.6,6,61.8,1.81,3.82,High
Hybrid,29,6.8,43.3,8259,5.5,3.9,79.4,5.05,2.01,High
Remote,32,8.3,58.1,9523,5,3,69,7.26,1.33,High
Remote,29,7.7,41.6,8779,6.4,7.2,77.3,7.12,2.65,High
Office,44,16.9,46.8,10078,6.1,7.7,66.8,2.35,3.78,High
Office,41,14.6,35.9,10442,4.6,2,74.8,2.84,1.7,High
Hybrid,23,1.3,43.7,6067,7.9,4.7,75.9,5.22,3.2,High
Remote,27,4.1,36,8372,6.2,5.7,75.8,6.49,2.78,High
Hybrid,32,9.8,46.8,8019,6,1.3,78.5,4.24,1.67,High
Remote,36,10.3,50.3,10378,7.3,4,63.8,5.38,3.71,High
Remote,49,26,44.7,13838,6,3.5,81.9,8.03,1.64,High
Remote,34,8.8,38.3,9649,7.3,2.7,88.8,5.36,1.61,High
Office,25,3.6,43.5,6875,7,6.6,66,1.22,3.65,High
Office,43,14.8,41.5,10544,7.4,3.9,63.9,3.22,3.85,High
Remote,38,11.5,40.9,10403,6.3,3,59.6,8.07,2.12,High
Hybrid,28,5.1,37.1,8076,6.1,0.3,55.3,3.96,2.77,High
Office,36,13.1,42.1,10370,6.3,5.9,75.9,3.99,3.61,High
Remote,27,4.5,34.4,8546,4,6.3,70,7.6,2.17,High
Remote,36,11.6,52.8,10417,4.4,5.2,83.4,8.17,1.69,High
Office,25,3.9,48,6288,4,3.9,52.3,2.85,1.83,High
Office,21,0,45.5,6954,6.5,2.8,80.8,3.08,1.53,High
Remote,42,13.8,37.7,11510,6.1,7.5,78.7,7.22,3.82,High
Remote,34,11.5,40.2,9726,6.5,4.6,70.1,4.49,3.14,High
Remote,31,6.5,39.6,8474,6.6,6.8,72.2,6.06,3.74,High
Hybrid,45,21.6,42.5,12220,6.4,5.5,86.8,2.35,3.25,High
Hybrid,35,11,43.5,9463,6.1,2,60.6,5.51,3.47,High
Remote,25,3.7,43,6293,7.1,3.4,81,10,2.71,High
Remote,32,9.7,48.8,8675,7.2,3.5,84.3,4.14,4.01,High
Remote,29,7.3,35,9089,7.3,3.6,79.7,5.41,2.18,High
Remote,44,20.2,48.3,12316,6,2.7,69.8,3.82,2.41,High
Office,37,10.5,47.1,8959,5.4,4.8,64,2.3,4.02,High
Remote,36,9.7,54.2,9566,6.3,4.5,60.3,5.93,2.62,High
Remote,33,8.2,40.3,10389,6.4,4.3,71.1,6.61,3.38,High
Remote,31,9.2,42.4,9537,7.4,3,81.8,5.91,3.07,High
Remote,39,16.7,47.2,11331,5.3,4.2,74.6,5.2,1.79,High
Remote,36,11.3,41.7,10517,8.5,3.1,79.5,4.63,3.78,High
Remote,38,11.7,40.8,9857,7.1,3.3,90.1,6.33,1.58,High
Remote,36,11.6,42.4,11046,7.4,8.6,79.3,5.71,4.59,Medium
Hybrid,32,10.2,44.6,9391,7.5,3.8,84.9,5.14,3.04,High
Office,21,0,56.8,5167,5.1,3,56.4,2.75,2.48,High
Office,42,20.1,52.1,11387,7.5,10,62.9,3.45,5.58,Medium
Hybrid,29,5.9,40.1,8190,5.6,6.4,86.1,3.52,3.01,High
Office,35,12.3,47.8,9188,6.8,2.7,80.7,2.46,4.51,Medium
Hybrid,38,15,48.9,10690,5,6.3,62.7,5.61,2.66,High
Office,36,9.5,32.3,8692,7.7,4.9,83.8,3.8,3.67,High
Hybrid,45,16.9,38.8,11887,6.5,0,59.5,3.39,1.74,High
Office,30,5.4,35.1,6883,6.3,6.3,74,3.27,3.55,High
Remote,28,4.2,45.9,7421,6.4,2.9,88.9,6.09,2.1,High
Hybrid,55,31.8,46.8,15937,6.6,4.5,75.6,3.61,3.84,High
Office,27,4.6,46.6,6973,8.8,2.4,76.4,2.18,3.22,High
Hybrid,32,8.3,48,9023,6.4,5.3,72.6,4.65,3.23,High
Remote,30,6.7,34.5,7714,6,4.9,58,7.53,2.49,High
Remote,38,12.6,58.4,11055,6.1,4.9,69.9,4.97,2.81,High
Remote,36,13.5,54.1,11115,5.8,3.2,70.8,5.33,3.11,High
Remote,28,5.6,48.2,8491,6.5,0.2,49,8.31,0.88,High
Office,25,4,42.7,6797,7.5,4.2,66.8,2.21,3.82,High
Office,34,10.6,42.3,8739,6.6,6.4,86.5,2.47,3.86,High
Office,46,23.1,47.7,11661,4.4,7.1,68.9,1.88,4.29,High
Hybrid,31,9.9,42.3,8779,6.2,5.2,76.9,3.55,4.8,Medium
Remote,34,8,39,9694,7.1,7.2,76.4,5.1,3.92,High
Office,41,18.5,57.8,11251,6.1,5.5,72.3,2.68,2.83,High
Hybrid,41,18.8,46.8,12572,8.5,5.8,79.7,3.65,4.9,Medium
Office,36,12.5,44.3,9764,5.4,4.2,55.9,3.08,2.52,High
Hybrid,28,4.2,49,8428,6.4,4.4,68.5,3.61,2.8,High
Hybrid,30,5.6,46.6,8293,7.3,3.6,80.3,4.19,3.29,High
Remote,27,5,36.9,8510,6.5,4.7,84.2,3.65,3.34,High
Remote,44,17.3,41.1,13232,6.6,5.3,73.3,6.12,3.89,High
Hybrid,39,12,41.3,10308,7.5,3.5,71.8,3.62,3.77,High
Hybrid,38,11.6,42.9,10064,7.4,7.5,63.9,3.79,4.16,High
Remote,32,10.1,42.7,9173,5.5,4.1,69,5.27,4.29,High
Office,39,14.8,34.4,8939,8,3.7,73.9,2.54,3.93,High
Hybrid,24,2,43.1,6580,4.7,5.4,61.4,3.32,3.68,High
Remote,31,9.1,41,9257,6.5,4.1,68.3,9.16,2.49,High
Hybrid,29,6.3,44.3,7891,6.9,5.4,76.7,4.58,2.52,High
Hybrid,32,9.4,48.9,8682,4.7,6.1,61.7,3.57,2.94,High
Hybrid,38,15.2,48.3,10719,6.3,6.1,72.9,2.7,3.43,High
Hybrid,44,19.7,43.2,12347,5.7,8.1,48.8,5.96,3.59,High
Office,30,6.1,49.5,7760,5.4,7.5,55.2,3.09,4.01,High
Remote,35,12.2,42.2,9884,4.5,2.6,75.3,6.99,0.07,High
Remote,32,9.1,43.8,9706,5.7,4.3,67.1,6.53,2.13,High
Hybrid,40,15.1,54.9,10781,4.8,1.7,70.1,3.95,1.62,High
Remote,23,2,41.6,8046,7,5.6,73.1,8.42,2.99,High
Remote,21,0,43.3,6879,5.4,8.2,53.1,5.88,3.36,High
Hybrid,36,11.1,39.5,9965,6.2,6.2,70.5,4.25,3.53,High
Hybrid,25,3.2,38.2,7879,6.9,4.2,78.1,5.54,2.39,High
Office,43,19,51.1,11905,6.2,2.7,72.2,3.24,3.97,High
Hybrid,32,7.8,39.7,9150,8.9,5.8,85.2,5.18,4.35,High
Remote,41,13.4,47.8,11270,6.4,5.5,75,6.72,2.77,High
Office,29,5.5,47.4,7231,5.8,5.4,74.6,2.91,3.21,High
Remote,38,15.5,38.4,11296,8.4,7.6,100,6.66,4.55,Medium
Remote,41,19.1,40,11194,6.5,5.9,64,8.73,3.24,High
Remote,28,6.1,43.5,8737,4,3.8,55.8,9.27,0.76,High
Remote,29,5.9,45.5,8716,4.7,5.3,58.6,8.3,1.6,High
Office,33,10.8,48.1,8975,5.6,4.4,64.9,4.04,2.09,High
Office,41,17.9,51.3,10500,5.8,4.8,53.4,2.06,3.83,High
Remote,37,10.4,42.5,10346,8.1,4.3,72.2,9.49,1.97,High
Hybrid,26,3,47.6,7594,5.9,2.3,61.7,4.61,2.03,High
Office,25,2.7,58,6932,6.3,5.7,49.2,2.87,3.61,High
Remote,40,15.8,40,11424,5.7,3.8,76.3,5.76,2.31,High
Hybrid,33,9.7,48,9702,5.9,5.4,89.9,3.49,2.48,High
Remote,34,9.7,46.1,10308,6,4.2,68,7.44,2.17,High
Remote,46,16.1,41,11419,6.9,2.4,82.2,8.24,2.43,High
Hybrid,31,6.8,41.7,8324,5.8,6.5,65.6,4.17,2.98,High
Office,21,0,49.3,5238,5.5,4.7,73.4,2.59,3.66,High
